timestamp,metric,unit,region,value
2025-12-02T17:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,715.7228
2025-12-02T18:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-02T19:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-02T20:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-02T21:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-02T22:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-02T23:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-03T00:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-03T01:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-03T02:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-03T03:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-03T04:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-03T05:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-03T06:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,232.278
2025-12-03T07:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,928.019
2025-12-03T08:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,4149.9902
2025-12-03T09:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,5681.556
2025-12-03T10:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,5870.4751
2025-12-03T11:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,6234.5672
2025-12-03T12:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,6413.3472
2025-12-03T13:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,6420.223
2025-12-03T14:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,4862.189
2025-12-02T15:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T16:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T17:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T18:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T19:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T20:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T21:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T22:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T23:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T00:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T01:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T02:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T03:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T04:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T05:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T06:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T07:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T08:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T09:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T10:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T11:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T12:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T13:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
