timestamp,metric,unit,facility_code,unit_code,fueltech_group,network_region,value
2025-12-03T19:00:00+10:00,emissions,t,emissions_BRNDBES1,BRNDBES1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_BRNDBESG1,BRNDBESG1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_CPP_3,CPP_3,,,691.1005
2025-12-03T19:00:00+10:00,emissions,t,emissions_CPP_4,CPP_4,,,733.1474
2025-12-03T19:00:00+10:00,emissions,t,emissions_CLUNY,CLUNY,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_COLWF01,COLWF01,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_ERGT01,ERGT01,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_KAREEYA1,KAREEYA1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_KAREEYA2,KAREEYA2,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_KAREEYA3,KAREEYA3,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_KAREEYA4,KAREEYA4,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_LONSDALE,LONSDALE,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_MEADOWBK,MEADOWBK,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_NEWENSF1,NEWENSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_NEWENSF2,NEWENSF2,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_NUMURSF1,NUMURSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_POAT110,POAT110,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_POAT220,POAT220,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_RYEPARK1,RYEPARK1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_SRSF1,SRSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_TRIBUTE,TRIBUTE,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_PUMP1,PUMP1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_PUMP2,PUMP2,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_W/HOE#1,W/HOE#1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_W/HOE#2,W/HOE#2,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_WLWLSF1,WLWLSF1,,,0.0
2025-12-03T19:00:00+10:00,emissions,t,emissions_WLWLSF2,WLWLSF2,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_ARWF1,ARWF1,,,1018.4
2025-12-03T19:00:00+10:00,power,MW,power_BARCSF1,BARCSF1,,,4.8
2025-12-03T19:00:00+10:00,power,MW,power_BARRON-1,BARRON-1,,,0.0
2025-12-03T19:00:00+10:00,power,MW,power_BARRON-2,BARRON-2,,,668.58
2025-12-03T19:00:00+10:00,power,MW,power_CROOKWF2,CROOKWF2,,,185.2802
2025-12-03T19:00:00+10:00,power,MW,power_GNNDHSF1,GNNDHSF1,,,0.0
